date,AAPL,COST,F,GE,GS,JNJ,KO,TSLA,WMT
2015-08-03,113.42834901197,141.87192968157,13.09443684009,24.042393788594,198.31921701327,93.406743026603,38.602860878588,259.99,67.717615334704
2015-08-04,109.78914159686,141.20897673913,13.068142790211,24.07027441533,198.78427746648,93.201289282694,38.890941929921,266.28,67.783287724194
2015-08-05,110.51698307988,143.20758487442,12.971731273985,24.256145260236,199.29778171689,93.873683353671,39.141851232695,270.13,69.425097461459
2015-08-06,110.75640462035,142.76886601545,12.998025323865,24.191090464519,198.70676739094,92.519556405175,38.955992489899,246.13,68.745107389737
2015-08-07,111.13158917522,141.61844767417,12.971731273985,23.968045450631,197.10812208305,92.314102661265,38.816598432803,242.51,67.290684180777
2015-08-10,115.17203822764,142.58362916389,13.138260256557,24.38625485167,199.55937822182,93.191950476152,38.732961998545,241.14,67.507903231466
2015-08-11,109.17870546655,142.23265407672,12.884084441053,23.893697112669,195.42227794019,92.463523565927,38.54710325575,237.37,67.932897026292
2015-08-12,110.86222590506,143.20758487442,12.866555074466,24.033100246349,194.87001865201,92.183359369686,38.342658638675,238.17,68.546776952152
2015-08-13,110.77564485393,142.01492152848,12.892849124346,23.968045450631,194.49215703378,91.968566819235,38.193971644439,242.51,68.102894544222
2015-08-14,111.55487431404,142.81654771182,12.954201907399,24.237558175745,195.73231824232,92.2767474351,38.333365701535,243.15,68.357890821118
2015-08-17,112.70928832902,142.81654771182,12.866555074466,24.358374224934,196.26520001162,93.266660928483,38.426295072933,254.99,67.914008413188
2015-08-18,112.07436062078,142.36685497482,12.998025323865,24.2282646335,194.91846244922,92.799720601416,38.379830387234,260.72,65.619041921128
2015-08-19,110.64096321885,141.91716223783,12.945437224106,23.91228419716,194.69562098205,92.743687762167,37.896597655966,255.25,64.759610024925
2015-08-20,108.37061565606,140.48987659433,12.647437992136,23.410432915913,190.62634201652,92.258069822017,37.682860101751,242.18,64.627389733201
2015-08-21,101.74235518673,135.87563807561,12.147851044421,22.852820381195,181.8967697595,89.942045799762,36.734980513495,230.77,62.842415794932
